open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.78,9.78,9.78,9.78,106,2020-06-05 01:00:00.000000,2020-06-05,DMYT,9.51,9.69,9.89,9.74,-0.03,-0.01,0.01,-0.0
9.51,9.51,9.51,9.51,269,2020-06-08 01:00:00.000000,2020-06-08,DMYT,9.63,9.89,9.61,9.79,0.01,0.04,0.01,0.03
9.8,9.8,9.62,9.63,3065,2020-06-09 01:00:00.000000,2020-06-09,DMYT,9.69,9.89,9.74,9.78,-0.01,0.01,-0.01,-0.0
9.63,9.8,9.63,9.69,5432,2020-06-10 01:00:00.000000,2020-06-10,DMYT,9.89,9.61,9.79,9.8,0.03,-0.0,0.02,0.02
9.89,9.89,9.89,9.89,127,2020-06-11 01:00:00.000000,2020-06-11,DMYT,9.89,9.74,9.78,9.73,0.0,-0.02,-0.01,-0.02
10.18,10.18,9.89,9.89,470,2020-06-12 01:00:00.000000,2020-06-12,DMYT,9.61,9.79,9.8,9.81,-0.06,-0.04,-0.04,-0.04
9.77,9.77,9.61,9.61,8120,2020-06-15 01:00:00.000000,2020-06-15,DMYT,9.74,9.78,9.73,9.82,-0.0,0.0,-0.0,0.01
9.74,9.74,9.74,9.74,8105,2020-06-17 01:00:00.000000,2020-06-17,DMYT,9.79,9.8,9.81,9.77,0.01,0.01,0.01,0.0
9.79,9.79,9.79,9.79,105,2020-06-18 01:00:00.000000,2020-06-18,DMYT,9.78,9.73,9.82,10.01,-0.0,-0.01,0.0,0.02
9.85,9.85,9.78,9.78,53190,2020-06-19 01:00:00.000000,2020-06-19,DMYT,9.8,9.81,9.77,10.03,-0.01,-0.0,-0.01,0.02
9.8,9.8,9.8,9.8,169,2020-06-22 01:00:00.000000,2020-06-22,DMYT,9.73,9.82,10.01,10.16,-0.01,0.0,0.02,0.04
9.73,9.73,9.73,9.73,102,2020-06-23 01:00:00.000000,2020-06-23,DMYT,9.81,9.77,10.03,10.2,0.01,0.0,0.03,0.05
9.82,9.88,9.81,9.81,8748,2020-06-24 01:00:00.000000,2020-06-24,DMYT,9.82,10.01,10.16,10.19,0.0,0.02,0.04,0.04
9.73,9.82,9.73,9.82,905,2020-06-25 01:00:00.000000,2020-06-25,DMYT,9.77,10.03,10.2,10.11,0.0,0.03,0.05,0.04
9.88,9.88,9.77,9.77,835,2020-06-26 01:00:00.000000,2020-06-26,DMYT,10.01,10.16,10.19,10.22,0.01,0.03,0.03,0.03
9.95,10.13,9.9,10.01,98115,2020-06-29 01:00:00.000000,2020-06-29,DMYT,10.03,10.2,10.11,10.1,0.01,0.03,0.02,0.02
10.01,10.04,10.0,10.03,4090,2020-06-30 01:00:00.000000,2020-06-30,DMYT,10.16,10.19,10.22,10.39,0.01,0.02,0.02,0.04
10.19,10.19,10.01,10.16,37540,2020-07-01 01:00:00.000000,2020-07-01,DMYT,10.2,10.11,10.1,10.41,0.0,-0.01,-0.01,0.02
10.16,10.2,10.16,10.2,20696,2020-07-02 01:00:00.000000,2020-07-02,DMYT,10.19,10.22,10.39,10.51,0.0,0.01,0.02,0.03
10.21,10.21,10.14,10.19,3310,2020-07-06 01:00:00.000000,2020-07-06,DMYT,10.11,10.1,10.41,10.53,-0.01,-0.01,0.02,0.03
10.16,10.17,10.05,10.11,23675,2020-07-07 01:00:00.000000,2020-07-07,DMYT,10.22,10.39,10.51,10.62,0.01,0.02,0.03,0.05
10.22,10.22,10.2,10.22,27312,2020-07-08 01:00:00.000000,2020-07-08,DMYT,10.1,10.41,10.53,10.61,-0.01,0.02,0.03,0.04
10.16,10.16,10.1,10.1,850,2020-07-09 01:00:00.000000,2020-07-09,DMYT,10.39,10.51,10.62,10.63,0.02,0.03,0.05,0.05
10.22,10.4,10.22,10.39,253422,2020-07-10 01:00:00.000000,2020-07-10,DMYT,10.41,10.53,10.61,10.7,0.02,0.03,0.04,0.05
10.45,10.53,10.35,10.41,30636,2020-07-13 01:00:00.000000,2020-07-13,DMYT,10.51,10.62,10.63,10.87,0.01,0.02,0.02,0.04
10.51,10.51,10.39,10.51,61187,2020-07-14 01:00:00.000000,2020-07-14,DMYT,10.53,10.61,10.7,10.85,0.0,0.01,0.02,0.03
10.66,10.66,10.4,10.53,14096,2020-07-15 01:00:00.000000,2020-07-15,DMYT,10.62,10.63,10.87,11.3,-0.0,-0.0,0.02,0.06
10.53,10.62,10.53,10.62,36190,2020-07-16 01:00:00.000000,2020-07-16,DMYT,10.61,10.7,10.85,11.85,0.01,0.02,0.03,0.13
10.62,10.62,10.58,10.61,709,2020-07-17 01:00:00.000000,2020-07-17,DMYT,10.63,10.87,11.3,11.75,0.0,0.02,0.06,0.11
10.62,10.7,10.6,10.63,135172,2020-07-20 01:00:00.000000,2020-07-20,DMYT,10.7,10.85,11.85,11.46,0.01,0.02,0.12,0.08
10.62,10.73,10.62,10.7,108266,2020-07-21 01:00:00.000000,2020-07-21,DMYT,10.87,11.3,11.75,10.75,0.02,0.06,0.11,0.01
10.99,11.15,10.8,10.87,33362,2020-07-22 01:00:00.000000,2020-07-22,DMYT,10.85,11.85,11.46,10.58,-0.01,0.08,0.04,-0.04
10.85,11.0,10.8,10.85,13652,2020-07-23 01:00:00.000000,2020-07-23,DMYT,11.3,11.75,10.75,10.46,0.04,0.08,-0.01,-0.04
11.21,11.4,11.13,11.3,978636,2020-07-24 01:00:00.000000,2020-07-24,DMYT,11.85,11.46,10.58,10.48,0.06,0.02,-0.06,-0.07
12.35,12.49,11.51,11.85,5729347,2020-07-27 01:00:00.000000,2020-07-27,DMYT,11.75,10.75,10.46,10.53,-0.05,-0.13,-0.15,-0.15
11.9,12.1,11.66,11.75,2196057,2020-07-28 01:00:00.000000,2020-07-28,DMYT,11.46,10.58,10.48,10.46,-0.04,-0.11,-0.12,-0.12
11.66,11.89,11.3,11.46,2187377,2020-07-29 01:00:00.000000,2020-07-29,DMYT,10.75,10.46,10.53,10.16,-0.08,-0.1,-0.1,-0.13
11.3,11.38,10.75,10.75,1132191,2020-07-30 01:00:00.000000,2020-07-30,DMYT,10.58,10.48,10.46,10.5,-0.06,-0.07,-0.07,-0.07
10.85,11.0,10.42,10.58,266135,2020-07-31 01:00:00.000000,2020-07-31,DMYT,10.46,10.53,10.16,10.57,-0.04,-0.03,-0.06,-0.03
11.14,11.14,10.45,10.46,457350,2020-08-03 01:00:00.000000,2020-08-03,DMYT,10.48,10.46,10.5,10.67,-0.06,-0.06,-0.06,-0.04
10.55,10.57,10.42,10.48,873620,2020-08-04 01:00:00.000000,2020-08-04,DMYT,10.53,10.16,10.57,10.8,-0.0,-0.04,0.0,0.02
10.5,10.57,10.4,10.53,86023,2020-08-05 01:00:00.000000,2020-08-05,DMYT,10.46,10.5,10.67,10.62,-0.0,0.0,0.02,0.01
10.58,10.66,10.34,10.46,129164,2020-08-06 01:00:00.000000,2020-08-06,DMYT,10.16,10.57,10.8,10.64,-0.04,-0.0,0.02,0.01
10.26,10.64,10.01,10.16,336865,2020-08-07 01:00:00.000000,2020-08-07,DMYT,10.5,10.67,10.62,10.61,0.02,0.04,0.04,0.03
10.5,10.57,10.33,10.5,276205,2020-08-10 01:00:00.000000,2020-08-10,DMYT,10.57,10.8,10.64,10.58,0.01,0.03,0.01,0.01
10.5,10.65,10.5,10.57,73113,2020-08-11 01:00:00.000000,2020-08-11,DMYT,10.67,10.62,10.61,10.59,0.02,0.01,0.01,0.01
10.49,10.96,10.49,10.67,188214,2020-08-12 01:00:00.000000,2020-08-12,DMYT,10.8,10.64,10.58,10.7,0.03,0.01,0.01,0.02
10.79,11.0,10.51,10.8,1764498,2020-08-13 01:00:00.000000,2020-08-13,DMYT,10.62,10.61,10.59,10.73,-0.02,-0.02,-0.02,-0.01
11.0,11.0,10.62,10.62,630292,2020-08-14 01:00:00.000000,2020-08-14,DMYT,10.64,10.58,10.7,11.11,-0.03,-0.04,-0.03,0.01
10.84,10.85,10.64,10.64,373176,2020-08-17 01:00:00.000000,2020-08-17,DMYT,10.61,10.59,10.73,,-0.02,-0.02,-0.01,
10.8,10.8,10.56,10.61,171494,2020-08-18 01:00:00.000000,2020-08-18,DMYT,10.58,10.7,11.11,,-0.02,-0.01,0.03,
10.65,10.65,10.58,10.58,81516,2020-08-19 01:00:00.000000,2020-08-19,DMYT,10.59,10.73,,,-0.01,0.01,,
10.58,10.69,10.56,10.59,509461,2020-08-20 01:00:00.000000,2020-08-20,DMYT,10.7,11.11,,,0.01,0.05,,
10.59,10.73,10.57,10.7,393003,2020-08-21 01:00:00.000000,2020-08-21,DMYT,10.73,,,,0.01,,,
10.75,10.75,10.7,10.73,1446024,2020-08-24 01:00:00.000000,2020-08-24,DMYT,11.11,,,,0.03,,,
10.85,11.3,10.82,11.11,1336472,2020-08-25 01:00:00.000000,2020-08-25,DMYT,,,,,,,,
